0x0068a848,RegisterInterruptHandler
0x0068a86c,UnregisterInterruptHandler
0x0068a884,GetSRAndDisableInterrupt
0x0068a888,SetSR
0x0068a8a8,EnableInterrupt
0x0068a8b0,CreateBinarySemaphore
0x0068a918,CreateCountingSemaphore
0x0068a918,CreateCountingSemaphore_FW
0x0068a970,DeleteSemaphore
0x0068a970,DeleteSemaphore_FW
0x0068a9c8,TryTakeSemaphore
0x0068aa1c,TakeSemaphore
0x0068aa1c,TakeSemaphore_FW
0x0068aaec,GiveSemaphore
0x0068aaec,GiveSemaphore_FW
0x0068ab24,GetSemaphoreValue
0x0068ab8c,CreateTask
0x0068ab8c,CreateTask_FW
0x0068ae1c,ExitTask
0x0068ae1c,ExitTask_FW
0x0068af04,CreateTaskStrictly
0x0068af38,CreateMessageQueueStrictly
0x0068af5c,CreateEventFlagStrictly
0x0068af80,CreateBinarySemaphoreStrictly
0x0068afa4,CreateCountingSemaphoreStrictly
0x0068afc8,CreateRecursiveLockStrictly
0x0068afec,TakeSemaphoreStrictly
0x0068b018,ReceiveMessageQueueStrictly
0x0068b044,PostMessageQueueStrictly
0x0068b070,WaitForAnyEventFlagStrictly
0x0068b09c,WaitForAllEventFlagStrictly
0x0068b0c8,AcquireRecursiveLockStrictly
0x0068b104,DebugAssert
0x0068b874,CreateEventFlag
0x0068b8cc,DeleteEventFlag
0x0068b91c,CheckAnyEventFlag
0x0068b964,CheckAllEventFlag
0x0068b9ac,WaitForAnyEventFlag
0x0068ba90,WaitForAllEventFlag
0x0068bb50,SetEventFlag
0x0068bb84,ClearEventFlag
0x0068bbbc,GetEventFlagValue
0x0068bccc,CreateMessageQueue
0x0068bd50,DeleteMessageQueue
0x0068bde0,ReceiveMessageQueue
0x0068bea8,TryReceiveMessageQueue
0x0068bf2c,PostMessageQueue
0x0068bfe4,TryPostMessageQueue
0x0068c024,GetNumberOfPostedMessages
0x0068c090,CreateRecursiveLock
0x0068c0e0,DeleteRecursiveLock
0x0068c130,AcquireRecursiveLock
0x0068c250,ReleaseRecursiveLock
0x0068c4e4,SleepTask
0x0068c4e4,SleepTask_FW
0x0068f420,LocalTime
0x0068f8c8,time
0x0068f978,GetTimeOfSystem_FW
0x00690cd8,_log
0x00691218,_log10
0x00691390,_pow
0x00693030,_sqrt
0xff000d88,memShow_FW
0xff002cf8,strncpy
0xff002d34,strncmp
0xff002d80,strchr
0xff002da4,strrchr
0xff002dcc,strlen
0xff002dcc,strlen_FW
0xff002eb4,malloc
0xff002f0c,free
0xff004294,drysh_FW
0xff004310,err_init_task
0xff004460,task_ClockSave
0xff005280,GetMemInfo
0xff005ae8,open
0xff005b98,close
0xff005d3c,Read
0xff005d3c,read
0xff005d3c,Read_FW
0xff00a570,RotateConsoleZOder_FW
